month_start_date,jurisdiction,filings_count,percent_of_historical_average
10/1/2020,Nash,256,59.81
11/1/2020,Nash,116,28.83
12/1/2020,Nash,26,6.36
1/1/2021,Nash,68,13.89
2/1/2021,Nash,24,5.83
3/1/2021,Nash,85,27.71
4/1/2021,Nash,63,17.03
5/1/2021,Nash,55,13.22
6/1/2021,Nash,90,21.2
7/1/2021,Nash,160,35.59
8/1/2021,Nash,138,31.91
9/1/2021,Nash,139,30.77
10/1/2021,Nash,104,24.3
11/1/2021,Nash,146,36.28
12/1/2021,Nash,95,23.25
1/1/2022,Nash,158,32.28
2/1/2022,Nash,150,36.43
3/1/2022,Nash,175,57.05
4/1/2022,Nash,238,64.32
5/1/2022,Nash,305,73.32
6/1/2022,Nash,308,72.56
7/1/2022,Nash,337,74.96
8/1/2022,Nash,329,76.09
9/1/2022,Nash,302,66.84
10/1/2022,Nash,315,73.6
11/1/2022,Nash,285,70.83
12/1/2022,Nash,322,78.81
1/1/2023,Nash,341,69.66
2/1/2023,Nash,312,75.77
3/1/2023,Nash,245,79.87
4/1/2023,Nash,312,84.32
5/1/2023,Nash,340,81.73
6/1/2023,Nash,353,83.16
1/1/2020,Alamance,253,104.12
2/1/2020,Alamance,203,100.25
3/1/2020,Alamance,115,65.43
4/1/2020,Alamance,40,20.89
5/1/2020,Alamance,80,34.56
6/1/2020,Alamance,66,29.01
7/1/2020,Alamance,158,60.82
8/1/2020,Alamance,132,51.12
9/1/2020,Alamance,167,72.99
10/1/2020,Alamance,166,68.94
11/1/2020,Alamance,148,72.12
12/1/2020,Alamance,80,34.69
1/1/2021,Alamance,83,34.16
2/1/2021,Alamance,52,25.68
3/1/2021,Alamance,80,45.52
4/1/2021,Alamance,127,66.32
5/1/2021,Alamance,80,34.56
6/1/2021,Alamance,97,42.64
7/1/2021,Alamance,109,41.96
8/1/2021,Alamance,127,49.19
9/1/2021,Alamance,104,45.45
10/1/2021,Alamance,163,67.69
11/1/2021,Alamance,142,69.2
12/1/2021,Alamance,118,51.17
1/1/2022,Alamance,152,62.55
2/1/2022,Alamance,183,90.37
3/1/2022,Alamance,212,120.63
4/1/2022,Alamance,182,95.04
5/1/2022,Alamance,307,132.61
6/1/2022,Alamance,261,114.73
7/1/2022,Alamance,308,118.55
8/1/2022,Alamance,256,99.15
9/1/2022,Alamance,258,112.76
